market	korean_name	english_name
KRW-STPT	에스티피	Standard Tokenization Protocol
BTC-VET	비체인	VeChain
KRW-ORBS	오브스	Orbs
BTC-CHZ	칠리즈	Chiliz
KRW-VET	비체인	VeChain
BTC-FX	펑션엑스	Function X
BTC-OGN	오리진프로토콜	Origin Protocol
KRW-CHZ	칠리즈	Chiliz
BTC-XTZ	테조스	Tezos
BTC-HIVE	하이브	Hive
BTC-HBD	하이브달러	Hive Dollar
BTC-OBSR	옵저버	Observer
BTC-DKA	디카르고	dKargo
KRW-STMX	스톰엑스	StormX
BTC-STMX	스톰엑스	StormX
BTC-AHT	아하토큰	AhaToken
BTC-PCI	페이코인	PayCoin
KRW-DKA	디카르고	dKargo
BTC-LINK	체인링크	Chainlink
KRW-HIVE	하이브	Hive
KRW-KAVA	카바	Kava
BTC-KAVA	카바	Kava
KRW-AHT	아하토큰	AhaToken
KRW-LINK	체인링크	Chainlink
KRW-XTZ	테조스	Tezos
KRW-BORA	보라	BORA
BTC-JST	저스트	JUST
BTC-CHR	크로미아	Chromia
BTC-DAD	다드	DAD
BTC-TON	톤	TON
KRW-JST	저스트	JUST
BTC-CTSI	카르테시	Cartesi
BTC-DOT	폴카닷	Polkadot
KRW-CRO	크로노스	Cronos
BTC-COMP	컴파운드	Compound
BTC-SXP	스와이프	Swipe
BTC-HUNT	헌트	HUNT
KRW-TON	톤	TON
BTC-ONIT	온버프	ONBUFF
BTC-CRV	커브	Curve
BTC-ALGO	알고랜드	Algorand
BTC-RSR	리저브라이트	Reserve Rights
KRW-SXP	스와이프	Swipe
BTC-OXT	오키드	Orchid
BTC-PLA	플레이댑	PlayDapp
KRW-HUNT	헌트	HUNT
BTC-MARO	마로	Maro
BTC-SAND	샌드박스	The Sandbox
BTC-SUN	썬	SUN
KRW-PLA	플레이댑	PlayDapp
KRW-DOT	폴카닷	Polkadot
BTC-SRM	세럼	Serum
BTC-QTCON	퀴즈톡	Quiztok
BTC-MVL	엠블	MVL
KRW-SRM	세럼	Serum
KRW-MVL	엠블	MVL
BTC-GXC	지엑스체인	GXChain
BTC-AQT	알파쿼크	Alpha Quark Token
BTC-AXS	엑시인피니티	Axie Infinity
BTC-STRAX	스트라티스	Stratis
KRW-STRAX	스트라티스	Stratis
KRW-AQT	알파쿼크	Alpha Quark Token
BTC-GLM	골렘	Golem
KRW-GLM	골렘	Golem
BTC-FCT2	피르마체인	FirmaChain
BTC-SSX	썸씽	SOMESING
KRW-SSX	썸씽	SOMESING
KRW-META	메타디움	Metadium
KRW-FCT2	피르마체인	FirmaChain
BTC-FIL	파일코인	Filecoin
BTC-UNI	유니스왑	Uniswap
BTC-BASIC	베이직	Basic
BTC-INJ	인젝티브프로토콜	Injective Protocol
BTC-PROM	프로메테우스	Prometeus
BTC-VAL	밸리디티	Validity
BTC-PSG	파리생제르맹	Paris Saint-Germain Fan Token
BTC-JUV	유벤투스	Juventus Fan Token
BTC-CBK	코박토큰	Cobak Token
BTC-FOR	포튜브	ForTube
KRW-CBK	코박토큰	Cobak Token
BTC-BFC	바이프로스트	Bifrost
BTC-LINA	리니어파이낸스	Linear
BTC-HUM	휴먼스케이프	Humanscape
BTC-CELO	셀로	Celo
KRW-SAND	샌드박스	The Sandbox
KRW-HUM	휴먼스케이프	Humanscape
BTC-IQ	에브리피디아	Everipedia
BTC-STX	스택스	Stacks
KRW-DOGE	도지코인	Dogecoin
BTC-NEAR	니어프로토콜	NEAR Protocol
BTC-AUCTION	바운스토큰	Bounce
BTC-DAWN	던프로토콜	Dawn Protocol
BTC-FLOW	플로우	Flow
BTC-STRK	스트라이크	Strike
KRW-STRK	스트라이크	Strike
BTC-PUNDIX	펀디엑스	Pundi X
KRW-PUNDIX	펀디엑스	Pundi X
KRW-FLOW	플로우	Flow
KRW-DAWN	던프로토콜	Dawn Protocol
KRW-AXS	엑시인피니티	Axie Infinity
KRW-STX	스택스	Stacks
BTC-GRT	그래프	The Graph
BTC-SNX	신세틱스	Synthetix
BTC-USDP	팍스달러	Pax Dollar
KRW-XEC	이캐시	eCash
KRW-SOL	솔라나	Solana
BTC-SOL	솔라나	Solana
KRW-MATIC	폴리곤	Polygon
BTC-MATIC	폴리곤	Polygon
KRW-NU	누사이퍼	Nucypher
BTC-NU	누사이퍼	Nucypher
KRW-AAVE	에이브	Aave
KRW-1INCH	1인치네트워크	1inch Network
BTC-AAVE	에이브	Aave
BTC-1INCH	1인치네트워크	1inch Network
BTC-MASK	마스크네트워크	Mask Network
KRW-ALGO	알고랜드	Algorand
BTC-AUDIO	오디우스	Audius
KRW-NEAR	니어프로토콜	NEAR Protocol
BTC-YGG	일드길드게임즈	Yield Guild Games
BTC-GTC	깃코인	Gitcoin
BTC-OCEAN	오션프로토콜	Ocean Protocol
BTC-CTC	크레딧코인	Creditcoin
BTC-LPT	라이브피어	Livepeer
KRW-WEMIX	위믹스	Wemix
BTC-WEMIX	위믹스	Wemix
KRW-AVAX	아발란체	Avalanche
BTC-AVAX	아발란체	Avalanche
BTC-IMX	이뮤터블엑스	Immutable X
BTC-RNDR	렌더토큰	Render Token
BTC-RLY	랠리	Rally
KRW-T	쓰레스홀드	Threshold
BTC-T	쓰레스홀드	Threshold
